Ensembl Gene ID	Associated Gene Name	Description
ENSDARG00000099289	st3gal1l3	ST3 beta-galactoside alpha-2,3-sialyltransferase 1, like 3 [Source:ZFIN;Acc:ZDB-GENE-100922-174]
ENSDARG00000043019	exoc1	exocyst complex component 1 [Source:ZFIN;Acc:ZDB-GENE-030131-1057]
ENSDARG00000022652	psmf1	proteasome (prosome, macropain) inhibitor subunit 1 [Source:ZFIN;Acc:ZDB-GENE-040718-282]
ENSDARG00000039661	slc36a4	solute carrier family 36 (proton/amino acid symporter), member 4 [Source:ZFIN;Acc:ZDB-GENE-050309-239]
ENSDARG00000096467	si:ch211-246n15.2	si:ch211-246n15.2 [Source:ZFIN;Acc:ZDB-GENE-120703-24]
ENSDARG00000075407	igl2v2	immunoglobulin light 2 variable 2 [Source:ZFIN;Acc:ZDB-GENE-060503-335]
ENSDARG00000020647	trpc4apb	transient receptor potential cation channel, subfamily C, member 4 associated protein b [Source:ZFIN;Acc:ZDB-GENE-000330-2]
ENSDARG00000104625	pimr168	Pim proto-oncogene, serine/threonine kinase, related 168 [Source:ZFIN;Acc:ZDB-GENE-041210-63]
ENSDARG00000037259	ndufb6	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6 [Source:ZFIN;Acc:ZDB-GENE-040426-1781]
ENSDARG00000056279	ccdc157	coiled-coil domain containing 157 [Source:ZFIN;Acc:ZDB-GENE-030616-155]
ENSDARG00000004270	atl3	atlastin 3 [Source:ZFIN;Acc:ZDB-GENE-041010-109]
ENSDARG00000058327	neu3.3	sialidase 3 (membrane sialidase), tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-061103-511]
ENSDARG00000092356	si:dkey-27d5.3	si:dkey-27d5.3 [Source:ZFIN;Acc:ZDB-GENE-141216-37]
ENSDARG00000014867	rpl8	ribosomal protein L8 [Source:ZFIN;Acc:ZDB-GENE-040426-1670]
ENSDARG00000020814	faimb	Fas apoptotic inhibitory molecule b [Source:ZFIN;Acc:ZDB-GENE-040718-91]
ENSDARG00000093460	gpr52	G protein-coupled receptor 52 [Source:ZFIN;Acc:ZDB-GENE-050208-696]
ENSDARG00000103817	TMEM42 (2 of 2)	transmembrane protein 42 [Source:HGNC Symbol;Acc:HGNC:28444]
ENSDARG00000002666	kcnj1b	potassium inwardly-rectifying channel, subfamily J, member 1b [Source:ZFIN;Acc:ZDB-GENE-070620-9]
ENSDARG00000059363	TGFBR2 (2 of 2)	transforming growth factor, beta receptor II (70/80kDa) [Source:HGNC Symbol;Acc:HGNC:11773]
ENSDARG00000032575	ywhaz	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide [Source:ZFIN;Acc:ZDB-GENE-030131-8554]
ENSDARG00000053201	zgc:172323	zgc:172323 [Source:ZFIN;Acc:ZDB-GENE-080204-113]
ENSDARG00000071378	C22H19orf70	chromosome 19 open reading frame 70 [Source:HGNC Symbol;Acc:HGNC:33702]
ENSDARG00000097518	si:ch211-205j18.1	si:ch211-205j18.1 [Source:ZFIN;Acc:ZDB-GENE-131119-98]
ENSDARG00000075271	rapgef5a	Rap guanine nucleotide exchange factor (GEF) 5a [Source:ZFIN;Acc:ZDB-GENE-030131-7681]
ENSDARG00000076988	znf839	zinc finger protein 839 [Source:ZFIN;Acc:ZDB-GENE-030131-4936]
ENSDARG00000095974	si:ch73-211l13.2	si:ch73-211l13.2 [Source:ZFIN;Acc:ZDB-GENE-110411-257]
ENSDARG00000097667	si:dkey-159f4.2	si:dkey-159f4.2 [Source:ZFIN;Acc:ZDB-GENE-131121-601]
ENSDARG00000102716	si:ch211-246b8.8	si:ch211-246b8.8 [Source:ZFIN;Acc:ZDB-GENE-110914-35]
ENSDARG00000074169	gpam	glycerol-3-phosphate acyltransferase, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-101026-1]
ENSDARG00000004587	kat5a	K(lysine) acetyltransferase 5a [Source:ZFIN;Acc:ZDB-GENE-040718-57]
ENSDARG00000096398	si:ch211-276a17.5	si:ch211-276a17.5 [Source:ZFIN;Acc:ZDB-GENE-120215-248]
ENSDARG00000038593	rspo4	R-spondin 4 [Source:ZFIN;Acc:ZDB-GENE-110103-2]
ENSDARG00000040955	dharma	dharma [Source:ZFIN;Acc:ZDB-GENE-990415-22]
ENSDARG00000042937	EFCAB6	EF-hand calcium binding domain 6 [Source:HGNC Symbol;Acc:HGNC:24204]
ENSDARG00000077344	si:dkey-27d5.14	si:dkey-27d5.14 [Source:ZFIN;Acc:ZDB-GENE-141216-38]
ENSDARG00000093398	si:dkey-103a3.4	si:dkey-103a3.4 [Source:ZFIN;Acc:ZDB-GENE-090312-177]
ENSDARG00000100514	cfap20	cilia and flagella associated protein 20 [Source:ZFIN;Acc:ZDB-GENE-040426-1784]
ENSDARG00000005754	ptprfb	protein tyrosine phosphatase, receptor type, f, b [Source:ZFIN;Acc:ZDB-GENE-060503-530]
ENSDARG00000091871	si:ch211-13o20.3	si:ch211-13o20.3 [Source:ZFIN;Acc:ZDB-GENE-090313-32]
ENSDARG00000095089	si:dkey-31m5.8	si:dkey-31m5.8 [Source:ZFIN;Acc:ZDB-GENE-070912-520]
ENSDARG00000093975	si:dkey-222h21.9	si:dkey-222h21.9 [Source:ZFIN;Acc:ZDB-GENE-081031-10]
ENSDARG00000077114	arhgef16	Rho guanine nucleotide exchange factor (GEF) 16 [Source:ZFIN;Acc:ZDB-GENE-081104-446]
ENSDARG00000002336	dlc	deltaC [Source:ZFIN;Acc:ZDB-GENE-000125-4]
ENSDARG00000017577	si:dkey-31m5.7	si:dkey-31m5.7 [Source:ZFIN;Acc:ZDB-GENE-070912-519]
ENSDARG00000015731	ano5a	anoctamin 5a [Source:ZFIN;Acc:ZDB-GENE-091013-2]
ENSDARG00000060741	SYT17	synaptotagmin XVII [Source:HGNC Symbol;Acc:HGNC:24119]
ENSDARG00000033042	ptprja	protein tyrosine phosphatase, receptor type, J a [Source:ZFIN;Acc:ZDB-GENE-030131-8301]
ENSDARG00000101817	si:dkey-238g7.2	si:dkey-238g7.2 [Source:ZFIN;Acc:ZDB-GENE-120709-15]
ENSDARG00000093427	si:dkey-115f9.2	si:dkey-115f9.2 [Source:ZFIN;Acc:ZDB-GENE-041210-294]
ENSDARG00000044044	rassf2b	Ras association (RalGDS/AF-6) domain family member 2b [Source:ZFIN;Acc:ZDB-GENE-041221-6]
ENSDARG00000040036	tcf19l	transcription factor 19 (SC1), like [Source:ZFIN;Acc:ZDB-GENE-060324-2]
ENSDARG00000090156	pttg1ipa	pituitary tumor-transforming 1 interacting protein a [Source:ZFIN;Acc:ZDB-GENE-030131-505]
ENSDARG00000096310	TAF1C	TATA box binding protein (TBP)-associated factor, RNA polymerase I, C, 110kDa [Source:HGNC Symbol;Acc:HGNC:11534]
ENSDARG00000074100	zgc:163014	zgc:163014 [Source:ZFIN;Acc:ZDB-GENE-070424-100]
ENSDARG00000094987	si:dkey-27d5.4	si:dkey-27d5.4 [Source:ZFIN;Acc:ZDB-GENE-141216-31]
ENSDARG00000076787	angpt4	angiopoietin 4 [Source:ZFIN;Acc:ZDB-GENE-110104-1]
ENSDARG00000058830	zdhhc3b	zinc finger, DHHC-type containing 3b [Source:ZFIN;Acc:ZDB-GENE-061110-19]
ENSDARG00000098934	rrp7a	ribosomal RNA processing 7 homolog A [Source:ZFIN;Acc:ZDB-GENE-050417-38]
ENSDARG00000070676	ifnphi3	interferon phi 3 [Source:ZFIN;Acc:ZDB-GENE-071128-2]
ENSDARG00000001881	cacnb3a	calcium channel, voltage-dependent, beta 3a [Source:ZFIN;Acc:ZDB-GENE-060221-2]
ENSDARG00000002259	ca15c	carbonic anhydrase XV c [Source:ZFIN;Acc:ZDB-GENE-061013-737]
ENSDARG00000061397	trip12	thyroid hormone receptor interactor 12 [Source:ZFIN;Acc:ZDB-GENE-041111-262]
ENSDARG00000092095	si:dkey-82k12.8	si:dkey-82k12.8 [Source:ZFIN;Acc:ZDB-GENE-070912-595]
ENSDARG00000068698	psenen	presenilin enhancer gamma secretase subunit [Source:ZFIN;Acc:ZDB-GENE-040218-1]
ENSDARG00000103104	si:ch211-106g8.42	si:ch211-106g8.42 [Source:ZFIN;Acc:ZDB-GENE-141212-22]
ENSDARG00000013687	cilp2	cartilage intermediate layer protein 2 [Source:ZFIN;Acc:ZDB-GENE-050208-436]
ENSDARG00000013528	mcm9	minichromosome maintenance complex component 9 [Source:ZFIN;Acc:ZDB-GENE-041014-310]
ENSDARG00000078094	lmf2a	lipase maturation factor 2a [Source:ZFIN;Acc:ZDB-GENE-080723-47]
ENSDARG00000012485	aurka	aurora kinase A [Source:ZFIN;Acc:ZDB-GENE-040801-161]
ENSDARG00000015854	chata	choline O-acetyltransferase a [Source:ZFIN;Acc:ZDB-GENE-080102-2]
ENSDARG00000090727	celf5b	cugbp, Elav-like family member 5b [Source:ZFIN;Acc:ZDB-GENE-070912-150]
ENSDARG00000091176	znf995	zinc finger protein 995 [Source:ZFIN;Acc:ZDB-GENE-080215-13]
ENSDARG00000008807	bokb	BCL2-related ovarian killer b [Source:ZFIN;Acc:ZDB-GENE-040426-1346]
ENSDARG00000031302	smap1	small ArfGAP 1 [Source:ZFIN;Acc:ZDB-GENE-060920-2]
ENSDARG00000096099	si:dkey-115f9.3	si:dkey-115f9.3 [Source:ZFIN;Acc:ZDB-GENE-110914-240]
ENSDARG00000060253	si:ch211-216b21.2	si:ch211-216b21.2 [Source:ZFIN;Acc:ZDB-GENE-130603-96]
ENSDARG00000038583	abraa	actin binding Rho activating protein a [Source:ZFIN;Acc:ZDB-GENE-120730-1]
ENSDARG00000099164	NACC1 (2 of 2)	nucleus accumbens associated 1, BEN and BTB (POZ) domain containing [Source:HGNC Symbol;Acc:HGNC:20967]
ENSDARG00000096270	si:dkey-176g1.6	si:dkey-176g1.6 [Source:ZFIN;Acc:ZDB-GENE-120215-87]
ENSDARG00000095607	si:ch211-209f23.3	si:ch211-209f23.3 [Source:ZFIN;Acc:ZDB-GENE-100921-45]
ENSDARG00000105035	anapc2	anaphase promoting complex subunit 2 [Source:ZFIN;Acc:ZDB-GENE-081104-256]
ENSDARG00000094608	si:dkey-222h21.10	si:dkey-222h21.10 [Source:ZFIN;Acc:ZDB-GENE-081031-22]
ENSDARG00000011665	aldoaa	aldolase a, fructose-bisphosphate, a [Source:ZFIN;Acc:ZDB-GENE-030131-8369]
ENSDARG00000038533	st3gal1l2	ST3 beta-galactoside alpha-2,3-sialyltransferase 1, like 2 [Source:ZFIN;Acc:ZDB-GENE-120426-1]
ENSDARG00000090900	apnl	actinoporin-like protein [Source:ZFIN;Acc:ZDB-GENE-030131-8907]
ENSDARG00000056719	slc6a19b	solute carrier family 6 (neutral amino acid transporter), member 19b [Source:ZFIN;Acc:ZDB-GENE-030131-4755]
ENSDARG00000070092	KCNV1	potassium channel, voltage gated modifier subfamily V, member 1 [Source:HGNC Symbol;Acc:HGNC:18861]
ENSDARG00000015968	rabgef1l	RAB guanine nucleotide exchange factor (GEF) 1, like [Source:ZFIN;Acc:ZDB-GENE-040426-813]
ENSDARG00000037618	ddit4	DNA-damage-inducible transcript 4 [Source:ZFIN;Acc:ZDB-GENE-031002-35]
ENSDARG00000092537	si:dkey-158e13.8	si:dkey-158e13.8 [Source:ZFIN;Acc:ZDB-GENEP-060503-5]
ENSDARG00000105161	si:dkey-238g7.1	si:dkey-238g7.1 [Source:ZFIN;Acc:ZDB-GENE-120703-11]
ENSDARG00000051746	cecr1a	cat eye syndrome chromosome region, candidate 1a [Source:ZFIN;Acc:ZDB-GENE-030902-4]
ENSDARG00000096494	si:dkey-158e13.17	si:dkey-158e13.17 [Source:ZFIN;Acc:ZDB-GENE-120709-90]
ENSDARG00000059523	rims4	regulating synaptic membrane exocytosis 4 [Source:ZFIN;Acc:ZDB-GENE-110103-1]
ENSDARG00000011673	si:ch211-246m6.5	si:ch211-246m6.5 [Source:ZFIN;Acc:ZDB-GENE-050208-577]
ENSDARG00000086411	srsf10b	serine/arginine-rich splicing factor 10b [Source:ZFIN;Acc:ZDB-GENE-040426-1415]
ENSDARG00000086077	si:ch211-156l18.4	si:ch211-156l18.4 [Source:ZFIN;Acc:ZDB-GENE-141219-18]
ENSDARG00000096477	si:dkey-158e13.18	si:dkey-158e13.18 [Source:ZFIN;Acc:ZDB-GENE-120709-100]
ENSDARG00000008336	sh3bp5a	SH3-domain binding protein 5a (BTK-associated) [Source:ZFIN;Acc:ZDB-GENE-111111-2]
ENSDARG00000076221	zgc:198419	zgc:198419 [Source:ZFIN;Acc:ZDB-GENE-030131-7540]
ENSDARG00000054867	hibch	3-hydroxyisobutyryl-CoA hydrolase [Source:ZFIN;Acc:ZDB-GENE-050327-29]
ENSDARG00000095666	si:ch73-106k19.4	si:ch73-106k19.4 [Source:ZFIN;Acc:ZDB-GENE-131127-299]
ENSDARG00000102318	il6	interleukin 6 (interferon, beta 2) [Source:ZFIN;Acc:ZDB-GENE-120509-1]
ENSDARG00000074379	knstrn	kinetochore-localized astrin/SPAG5 binding protein [Source:ZFIN;Acc:ZDB-GENE-081022-187]
ENSDARG00000014858	drd2l	dopamine receptor D2 like [Source:ZFIN;Acc:ZDB-GENE-030910-1]
ENSDARG00000053979	bc2	putative breast adenocarcinoma marker [Source:ZFIN;Acc:ZDB-GENE-040426-2922]
ENSDARG00000056594	irx1b	iroquois homeobox 1b [Source:ZFIN;Acc:ZDB-GENE-010716-1]
ENSDARG00000098394	si:ch211-106g8.11	si:ch211-106g8.11 [Source:ZFIN;Acc:ZDB-GENE-141212-67]
ENSDARG00000022660	armc2	armadillo repeat containing 2 [Source:ZFIN;Acc:ZDB-GENE-041014-7]
ENSDARG00000043093	mpeg1.2	macrophage expressed 1, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-050522-305]
ENSDARG00000100094	FP085397.1	
ENSDARG00000098496	si:ch211-106g8.10	si:ch211-106g8.10 [Source:ZFIN;Acc:ZDB-GENE-141212-24]
ENSDARG00000100346	si:ch211-194m7.4	si:ch211-194m7.4 [Source:ZFIN;Acc:ZDB-GENE-131125-83]
ENSDARG00000005108	oclna	occludin a [Source:ZFIN;Acc:ZDB-GENE-040426-2685]
ENSDARG00000058917	nnr	nanor [Source:ZFIN;Acc:ZDB-GENE-030128-1]
ENSDARG00000082530	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000093261	si:dkey-9p20.5	si:dkey-9p20.5 [Source:ZFIN;Acc:ZDB-GENE-070705-520]
ENSDARG00000092810	stap2a	signal transducing adaptor family member 2a [Source:ZFIN;Acc:ZDB-GENE-030131-5383]
ENSDARG00000102905	dre-mir-219-3	dre-mir-219-3 [Source:miRBase;Acc:MI0002054]
ENSDARG00000102568	si:ch73-106k19.2	si:ch73-106k19.2 [Source:ZFIN;Acc:ZDB-GENE-131121-349]
ENSDARG00000071333	si:ch211-212d10.2	si:ch211-212d10.2 [Source:ZFIN;Acc:ZDB-GENE-050208-516]
ENSDARG00000081082	SNORA16	Small nucleolar RNA SNORA16B/SNORA16A family [Source:RFAM;Acc:RF00190]
ENSDARG00000088274	si:ch211-181d7.1	si:ch211-181d7.1 [Source:ZFIN;Acc:ZDB-GENE-121214-14]
ENSDARG00000084500	SNORD52	Small nucleolar RNA SNORD52 [Source:RFAM;Acc:RF00276]
ENSDARG00000104793	dgke	diacylglycerol kinase, epsilon [Source:ZFIN;Acc:ZDB-GENE-090512-7]
ENSDARG00000103928	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000076274	BX088529.1	
ENSDARG00000096757	si:ch73-205h11.1	si:ch73-205h11.1 [Source:ZFIN;Acc:ZDB-GENE-130603-92]
ENSDARG00000026595	pafah1b1b	platelet-activating factor acetylhydrolase 1b, regulatory subunit 1b [Source:ZFIN;Acc:ZDB-GENE-040116-3]
ENSDARG00000086453	cx52.9	connexin 52.9 [Source:ZFIN;Acc:ZDB-GENE-040426-2421]
ENSDARG00000075984	hsbp1l1	heat shock factor binding protein 1-like 1 [Source:EntrezGene;Acc:799177]
ENSDARG00000075480	si:dkey-63d15.12	si:dkey-63d15.12 [Source:ZFIN;Acc:ZDB-GENE-080303-18]
ENSDARG00000094668	si:ch211-51a19.5	si:ch211-51a19.5 [Source:ZFIN;Acc:ZDB-GENE-041014-366]
ENSDARG00000060580	tasp1	taspase, threonine aspartase, 1 [Source:ZFIN;Acc:ZDB-GENE-070424-242]
ENSDARG00000104476	si:dkey-41c6.3	si:dkey-41c6.3 [Source:ZFIN;Acc:ZDB-GENE-070705-469]
ENSDARG00000102353	DDX47	DEAD (Asp-Glu-Ala-Asp) box polypeptide 47 [Source:HGNC Symbol;Acc:HGNC:18682]
ENSDARG00000060884	nmur1	neuromedin U receptor 1 [Source:ZFIN;Acc:ZDB-GENE-081104-220]
ENSDARG00000101696	FAM126B (2 of 2)	family with sequence similarity 126, member B [Source:HGNC Symbol;Acc:HGNC:28593]
ENSDARG00000016213	BX088711.1	
ENSDARG00000004581	sel1l	sel-1 suppressor of lin-12-like (C. elegans) [Source:ZFIN;Acc:ZDB-GENE-041001-122]
ENSDARG00000011157	arhgef18a	rho/rac guanine nucleotide exchange factor (GEF) 18a [Source:ZFIN;Acc:ZDB-GENE-040516-14]
ENSDARG00000096751	si:dkey-222o17.4	si:dkey-222o17.4 [Source:ZFIN;Acc:ZDB-GENE-130603-3]
ENSDARG00000091065	SNORA5	Small nucleolar RNA SNORA5 [Source:RFAM;Acc:RF00392]
ENSDARG00000097947	mespbb	mesoderm posterior bb [Source:ZFIN;Acc:ZDB-GENE-110609-1]
ENSDARG00000087473	dnajb12b	DnaJ (Hsp40) homolog, subfamily B, member 12b [Source:ZFIN;Acc:ZDB-GENE-070410-128]
ENSDARG00000062753	naif1	nuclear apoptosis inducing factor 1 [Source:ZFIN;Acc:ZDB-GENE-081104-236]
ENSDARG00000081209	CU634003.1	
ENSDARG00000060854	kctd3	potassium channel tetramerization domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-060503-169]
ENSDARG00000102920	CABZ01053706.2	
ENSDARG00000079615	zgc:91850	zgc:91850 [Source:ZFIN;Acc:ZDB-GENE-040801-211]
ENSDARG00000099292	CR847534.1	
ENSDARG00000080804	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000027638	adra1ab	adrenoceptor alpha 1Ab [Source:ZFIN;Acc:ZDB-GENE-060503-384]
ENSDARG00000078701	prdm13	PR domain containing 13 [Source:ZFIN;Acc:ZDB-GENE-080616-1]
ENSDARG00000084373	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000037425	s100a10a	S100 calcium binding protein A10a [Source:ZFIN;Acc:ZDB-GENE-041010-35]
ENSDARG00000099299	si:ch1073-83n3.2	si:ch1073-83n3.2 [Source:ZFIN;Acc:ZDB-GENE-141219-10]
ENSDARG00000081497	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000096810	si:ch211-63o20.10	si:ch211-63o20.10 [Source:ZFIN;Acc:ZDB-GENE-130531-66]
ENSDARG00000082677	dre-mir-187-1	dre-mir-187-1 [Source:miRBase;Acc:MI0001370]
ENSDARG00000093616	si:dkey-199l1.1	si:dkey-199l1.1 [Source:ZFIN;Acc:ZDB-GENE-060531-90]
ENSDARG00000057590	si:ch1073-396h14.1	si:ch1073-396h14.1 [Source:ZFIN;Acc:ZDB-GENE-070705-6]
ENSDARG00000082166	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000101372	CR352258.1	
ENSDARG00000081961	SNORD94	Small nucleolar RNA SNORD94 [Source:RFAM;Acc:RF00613]
ENSDARG00000097252	si:ch211-150f22.4	si:ch211-150f22.4 [Source:ZFIN;Acc:ZDB-GENE-131127-272]
ENSDARG00000090098	dre-mir-30a	dre-mir-30a [Source:miRBase;Acc:MI0001940]
ENSDARG00000089995	BAX (4 of 4)	BCL2-associated X protein [Source:HGNC Symbol;Acc:HGNC:959]
ENSDARG00000081044	dre-mir-125a-2	dre-mir-125a-2 [Source:miRBase;Acc:MI0001973]
ENSDARG00000017234	npy8ar	neuropeptide Y receptor Y8a [Source:ZFIN;Acc:ZDB-GENE-990415-175]
ENSDARG00000104032	SNORA3	Small nucleolar RNA SNORA3/SNORA45 family [Source:RFAM;Acc:RF00334]
ENSDARG00000076308	pdp1	pyruvate dehyrogenase phosphatase catalytic subunit 1 [Source:ZFIN;Acc:ZDB-GENE-060810-70]
ENSDARG00000099130	CABZ01060185.1	
ENSDARG00000086450	tdg.2	thymine DNA glycosylase, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-131121-30]
ENSDARG00000104420	SNORA79	Small nucleolar RNA SNORA79 [Source:RFAM;Acc:RF00600]
ENSDARG00000090223	msl1b	male-specific lethal 1 homolog b (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-030131-4491]
ENSDARG00000075015	soul5	heme-binding protein soul5 [Source:ZFIN;Acc:ZDB-GENE-110718-2]
ENSDARG00000085338	SCARNA16	Small Cajal body specific RNA 16 [Source:RFAM;Acc:RF00424]
ENSDARG00000098701	SNORA3	Small nucleolar RNA SNORA3/SNORA45 family [Source:RFAM;Acc:RF00334]
ENSDARG00000096420	si:dkey-13n23.4	si:dkey-13n23.4 [Source:ZFIN;Acc:ZDB-GENE-120215-168]
ENSDARG00000040547	b3gat1a	beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P) a [Source:ZFIN;Acc:ZDB-GENE-050419-21]
ENSDARG00000040601	CU570684.2	
ENSDARG00000104758	zgc:194981	zgc:194981 [Source:ZFIN;Acc:ZDB-GENE-081022-170]
ENSDARG00000017602	ccng2	cyclin G2 [Source:ZFIN;Acc:ZDB-GENE-021016-1]
ENSDARG00000019130	plk2b	polo-like kinase 2b (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-070720-17]
ENSDARG00000094196	si:dkey-27d5.10	si:dkey-27d5.10 [Source:ZFIN;Acc:ZDB-GENE-141216-46]
ENSDARG00000063319	si:ch73-216m24.3	si:ch73-216m24.3 [Source:ZFIN;Acc:ZDB-GENE-100921-70]
ENSDARG00000033967	trmt2b	TRM2 tRNA methyltransferase 2 homolog B (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-050809-101]
ENSDARG00000095778	si:rp71-1k13.5	si:rp71-1k13.5 [Source:ZFIN;Acc:ZDB-GENE-090312-155]
ENSDARG00000092156	si:dkey-9p20.4	si:dkey-9p20.4 [Source:ZFIN;Acc:ZDB-GENE-070705-519]
ENSDARG00000079482	GID4	GID complex subunit 4 homolog [Source:HGNC Symbol;Acc:HGNC:28453]
ENSDARG00000104213	si:dkey-283b1.6	si:dkey-283b1.6 [Source:ZFIN;Acc:ZDB-GENE-120215-112]
ENSDARG00000097000	si:ch211-66i8.3	si:ch211-66i8.3 [Source:ZFIN;Acc:ZDB-GENE-131120-31]
ENSDARG00000021097	nelfcd	negative elongation factor complex member C/D [Source:ZFIN;Acc:ZDB-GENE-040426-720]
ENSDARG00000105034	zdhhc18b	zinc finger, DHHC-type containing 18b [Source:ZFIN;Acc:ZDB-GENE-030131-6315]
ENSDARG00000103748	ovca2	ovarian tumor suppressor candidate 2 [Source:ZFIN;Acc:ZDB-GENE-050522-115]
ENSDARG00000092433	si:dkeyp-115f6.1	si:dkeyp-115f6.1 [Source:ZFIN;Acc:ZDB-GENE-090313-374]
ENSDARG00000103467	limk1a	LIM domain kinase 1a [Source:ZFIN;Acc:ZDB-GENE-061212-3]
ENSDARG00000097314	si:zfos-1714f5.3	si:zfos-1714f5.3 [Source:ZFIN;Acc:ZDB-GENE-131127-148]
ENSDARG00000038835	ppid	peptidylprolyl isomerase D [Source:ZFIN;Acc:ZDB-GENE-040625-34]
ENSDARG00000006615	hnf1ba	HNF1 homeobox Ba [Source:ZFIN;Acc:ZDB-GENE-020104-1]
ENSDARG00000077096	fndc7a	fibronectin type III domain containing 7a [Source:ZFIN;Acc:ZDB-GENE-070216-2]
ENSDARG00000102626	frem2b	Fras1 related extracellular matrix protein 2b [Source:ZFIN;Acc:ZDB-GENE-081119-4]
ENSDARG00000045929	oaz2a	ornithine decarboxylase antizyme 2a [Source:ZFIN;Acc:ZDB-GENE-121005-1]
ENSDARG00000034895	tgfb1b	transforming growth factor, beta 1b [Source:ZFIN;Acc:ZDB-GENE-091028-1]
ENSDARG00000103460	BX324163.1	
ENSDARG00000102267	znf750	zinc finger protein 750 [Source:ZFIN;Acc:ZDB-GENE-050417-313]
ENSDARG00000093840	si:dkey-158e13.7	si:dkey-158e13.7 [Source:ZFIN;Acc:ZDB-GENEP-060503-3]
ENSDARG00000096631	MED9	mediator complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:25487]
ENSDARG00000084989	SNORD52	Small nucleolar RNA SNORD52 [Source:RFAM;Acc:RF00276]
ENSDARG00000081895	SNORA9	Small nucleolar RNA SNORA9 [Source:RFAM;Acc:RF00411]
ENSDARG00000102689	si:dkey-16f21.2	si:dkey-16f21.2 [Source:ZFIN;Acc:ZDB-GENE-141216-163]
ENSDARG00000073787	si:ch73-303b9.1	si:ch73-303b9.1 [Source:ZFIN;Acc:ZDB-GENE-131127-391]
ENSDARG00000099848	CABZ01053706.1	
ENSDARG00000040732	elavl2	ELAV like neuron-specific RNA binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-040704-9]
ENSDARG00000052833	zfand3	zinc finger, AN1-type domain 3 [Source:ZFIN;Acc:ZDB-GENE-050706-134]
ENSDARG00000063088	FFAR2 (3 of 5)	free fatty acid receptor 2 [Source:HGNC Symbol;Acc:HGNC:4501]
ENSDARG00000098585	si:ch211-237a4.2	si:ch211-237a4.2 [Source:ZFIN;Acc:ZDB-GENE-060503-504]
ENSDARG00000080384	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000062266	edc4	enhancer of mRNA decapping 4 [Source:ZFIN;Acc:ZDB-GENE-030131-5032]
ENSDARG00000077577	ntsr1	neurotensin receptor 1 (high affinity) [Source:ZFIN;Acc:ZDB-GENE-090313-372]
ENSDARG00000016132	keap1a	kelch-like ECH-associated protein 1a [Source:ZFIN;Acc:ZDB-GENE-030131-556]
ENSDARG00000084209	SNORA9	Small nucleolar RNA SNORA9 [Source:RFAM;Acc:RF00411]
ENSDARG00000091212	si:dkey-192p21.6	si:dkey-192p21.6 [Source:ZFIN;Acc:ZDB-GENE-060503-809]
ENSDARG00000031637	pan3	PAN3 poly(A) specific ribonuclease subunit homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-070928-13]
ENSDARG00000094503	si:ch211-225b14.5	si:ch211-225b14.5 [Source:ZFIN;Acc:ZDB-GENE-091204-374]
ENSDARG00000004597	lrrc4ba	leucine rich repeat containing 4Ba [Source:ZFIN;Acc:ZDB-GENE-080327-25]
ENSDARG00000062971	sdhaf2	succinate dehydrogenase complex assembly factor 2 [Source:ZFIN;Acc:ZDB-GENE-030131-7564]
ENSDARG00000097996	usp2a	
ENSDARG00000101065	si:ch211-237a4.1	si:ch211-237a4.1 [Source:ZFIN;Acc:ZDB-GENE-060503-411]
ENSDARG00000070108	dek	DEK proto-oncogene [Source:ZFIN;Acc:ZDB-GENE-060512-191]
ENSDARG00000021324	nsun4	NOL1/NOP2/Sun domain family, member 4 [Source:ZFIN;Acc:ZDB-GENE-041212-77]
ENSDARG00000095491	zgc:174354	zgc:174354 [Source:ZFIN;Acc:ZDB-GENE-080218-8]
ENSDARG00000009466	rgs9bp	regulator of G protein signaling 9 binding protein [Source:ZFIN;Acc:ZDB-GENE-030728-1]
